Client_id; Valor ;Valor OK;Tasa de Interés;P.P.Tasa;Plazo;Plazo OK;Sempli Score;Cliente;Mes;Año ganado;Producto (Destinación) OK;Canal de Captura OK;Tipo de Empresa;Número de empleados;Número de empleados Mujeres;Año de Constitución;Actividad eco  SEMPLI;Ciudad;Ciudad agrupada;Estrato;Acceso a la banca;Mujeres Empresarias;Estado;Tipo de Garantía;Edad Empresarios;variable predictora
40111;100.000.000;0 a 100;1,3;130000000;12;0 a 12;729;Nuevo;2017-01;2017;KT - CO;Partnerships;Growth;15;3;2011;Commerce, Mechants, Retail;La Estrella;Medellín AM;3;Si;No;Pagado;Pagaré;47;0
92859;30.000.000;0 a 100;1,6;48000000;36;25 a 36;734;Nuevo;2017-02;2017;KT - CO;Partnerships;Seed;6;3;2013;Commerce, Mechants, Retail;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;33;0
24464;100.000.000;0 a 100;1,45;145000000;12;0 a 12;775;Nuevo;2017-02;2017;Growth;Partnerships;Venture;25;5;2011;Architecture, Design, Engineering;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;60;0
3420;150.000.000;101 a 200;1,45;217500000;24;13 a 24;761;Nuevo;2017-02;2017;Growth;Partnerships;Seed;35;0;2000;Manufacturing;Medellín;Medellín AM;4;No;No;Pagado;Pagaré;42;0
65484;30.000.000;0 a 100;1,7;51000000;18;13 a 24;695;Nuevo;2017-03;2017;Growth;Posicionamiento;Seed;5;5;2013;Manufacturing;Bogotá D.C.;Bogotá AM;6;Si;No;Pagado;Pagaré;37;1
41275;60.000.000;0 a 100;1,5;90000000;30;25 a 36;761;Nuevo;2017-03;2017;Growth;Partnerships;Seed;14;10;2015;Manufacturing;Medellín;Medellín AM;6;No;No;Pagado;Pagaré;35;0
90170;100.000.000;0 a 100;1,45;145000000;36;25 a 36;704;Nuevo;2017-04;2017;KT - CO;Partnerships;Scale Up;20;18;2012;Business Consulting;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;37;0
43738;30.000.000;0 a 100;1,5;45000000;36;25 a 36;768;Nuevo;2017-04;2017;Growth;Partnerships;Venture;37;30;2011;Manufacturing;Medellín;Medellín AM;4;Si;No;Castigo;Otros;31;1
97828;80.000.000;0 a 100;1,6;128000000;24;13 a 24;722;Nuevo;2017-04;2017;Growth;Partnerships;Venture;10;8;2015;Business Consulting;Bogotá D.C.;Bogotá AM;5;Si;No;Pagado;Pagaré;64;0
45838;30.000.000;0 a 100;1,52;45600000;3;0 a 12;644;Nuevo;2017-04;2017;Growth;Partnerships;Scale Up;13;7;2010;Architecture, Design, Engineering;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;35;0
91861;30.000.000;0 a 100;1,75;52500000;18;13 a 24;686;Nuevo;2017-04;2017;SP;Directo;Seed;10;5;2010;Manufacturing;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;36;1
81462;30.000.000;0 a 100;1,54;46200000;24;13 a 24;740;Nuevo;2017-04;2017;Growth;Partnerships;Venture;5;4;2009;Software and Communications;Medellín;Medellín AM;5;Si;No;Pagado;Pagaré;41;0
90170;70.000.000;0 a 100;1,65;115500000;18;13 a 24;704;Renovación;2017-05;2017;SP;Partnerships;Scale Up;20;18;2012;Business Consulting;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;37;1
26415;200.000.000;101 a 200;1,37;274000000;24;13 a 24;738;Nuevo;2017-05;2017;Growth;Directo;Growth;105;0;2006;Commerce, Mechants, Retail;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;38;1
24464;100.000.000;0 a 100;1,53;153000000;12;0 a 12;775;Renovación;2017-05;2017;Growth;Directo;Venture;25;5;2011;Architecture, Design, Engineering;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;60;0
43738;70.000.000;0 a 100;1,5;105000000;36;25 a 36;768;Renovación;2017-06;2017;SP;Partnerships;Venture;37;30;2011;Manufacturing;Medellín;Medellín AM;4;Si;No;Castigo;Otros;31;1
67844;100.000.000;0 a 100;1,62;162000000;24;13 a 24;734;Nuevo;2017-06;2017;Growth;Digital;Venture;10;6;2011;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Otros;53;1
40111;100.000.000;0 a 100;1,3;130000000;18;13 a 24;739;Renovación;2017-06;2017;Growth;Partnerships;Growth;15;3;2011;Commerce, Mechants, Retail;La Estrella;Medellín AM;3;Si;No;Pagado;Prenda Maquinaria, Inventarios o Equipos;47;1
41946;40.000.000;0 a 100;1,7;68000000;3;0 a 12;670;Nuevo;2017-06;2017;KT - CO;Directo;Scale Up;35;18;2008;Construction activities;Medellín;Medellín AM;3;Si;No;Pagado;Pagaré;38;0
19506;150.000.000;101 a 200;1,58;237000000;36;25 a 36;726;Nuevo;2017-06;2017;Growth;Partnerships;Seed;27;14;2013;Tourism, Hotels and Restaurants;Medellín;Medellín AM;4;Si;No;Subrogacion;Pagaré;34;1
3420;90.000.000;0 a 100;1,45;130500000;24;13 a 24;761;Renovación;2017-06;2017;Growth;Partnerships;Seed;35;0;2000;Manufacturing;Medellín;Medellín AM;4;No;No;Pagado;Pagaré;42;0
75242;85.000.000;0 a 100;1,54;130900000;24;13 a 24;740;Nuevo;2017-06;2017;Growth;Digital;Venture;24;13;2010;Manufacturing;Bogotá D.C.;Bogotá AM;6;Si;No;Pagado;Pagaré;43;0
55484;150.000.000;101 a 200;1,47;220500000;36;25 a 36;740;Nuevo;2017-06;2017;KT - CO;Directo;Venture;50;15;2013;Software and Communications;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;38;0
68476;32.934.870;0 a 100;1,266595061;41715143,68;4;0 a 12;676;Nuevo;2017-07;2017;KT - CO;Directo;Growth;100;95;2006;Commerce, Mechants, Retail;La Estrella;Medellín AM;6;Si;No;Pagado;Pagaré;41;0
68476;67.324.669;0 a 100;1,7520183;117954052,1;4;0 a 12;676;Renovación;2017-07;2017;KT - CO;Directo;Growth;100;95;2006;Commerce, Mechants, Retail;La Estrella;Medellín AM;6;Si;No;Pagado;Pagaré;41;0
94669;40.000.000;0 a 100;1,58;63200000;24;13 a 24;768;Nuevo;2017-07;2017;Growth;Directo;Seed;15;11;2015;Manufacturing;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;31;0
67844;100.000.000;0 a 100;1,62;162000000;24;13 a 24;726;Renovación;2017-07;2017;Growth;Digital;Venture;10;6;2011;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Otros;53;1
43738;20.000.000;0 a 100;1,5;30000000;36;25 a 36;768;Renovación;2017-08;2017;Growth;Partnerships;Venture;37;30;2011;Manufacturing;Medellín;Medellín AM;4;Si;No;Castigo;Otros;31;1
40111;100.000.000;0 a 100;1,3;130000000;18;13 a 24;739;Renovación;2017-08;2017;Growth;Partnerships;Growth;15;3;2011;Commerce, Mechants, Retail;La Estrella;Medellín AM;3;Si;No;Pagado;Prenda Maquinaria, Inventarios o Equipos;47;0
97828;70.000.000;0 a 100;1,5;105000000;6;0 a 12;739;Renovación;2017-08;2017;Growth;Partnerships;Venture;10;8;2015;Business Consulting;Bogotá D.C.;Bogotá AM;5;Si;No;Pagado;Pagaré;64;1
37652;52.410.311;0 a 100;1,65;86477013,15;60;37 en adelante;702;Nuevo;2017-09;2017;Growth;Directo;Seed;25;17;2014;Manufacturing;Medellín;Medellín AM;6;No;No;Pagado;Prenda Maquinaria, Inventarios o Equipos;30;1
29286;20.000.000;0 a 100;1,52;30400000;36;25 a 36;761;Nuevo;2017-09;2017;SP;Directo;Venture;10;3;2012;Software and Communications;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;32;0
81969;232.000.000;201 a 300;1,44;334080000;4;0 a 12;710;Nuevo;2017-09;2017;Growth;Partnerships;Scale Up;23;4;2007;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Pagaré;38;0
67844;100.000.000;0 a 100;1,62;162000000;24;13 a 24;717;Renovación;2017-09;2017;Growth;Digital;Venture;10;6;2011;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Otros;53;1
75117;73.138.000;0 a 100;1,65;120677700;24;13 a 24;780;Nuevo;2017-09;2017;SP;Directo;Seed;12;8;2010;Business Consulting;Bogotá D.C.;Bogotá AM;5;Si;No;Pagado;Pagaré;38;0
12934;80.000.000;0 a 100;1,69;135200000;24;13 a 24;742;Nuevo;2017-09;2017;Growth;Digital;Seed;8;0;2015;Commerce, Mechants, Retail;Bogotá D.C.;Bogotá AM;3;Si;No;Pagado;Pagaré;38;1
67844;100.000.000;0 a 100;1,62;162000000;24;13 a 24;717;Renovación;2017-09;2017;Growth;Digital;Venture;10;6;2011;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Otros;53;1
79170;30.000.000;0 a 100;1,72;51600000;12;0 a 12;693;Nuevo;2017-10;2017;KT - CO;Partnerships;Seed;13;3;2014;Software and Communications;Bogotá D.C.;Bogotá AM;5;Si;No;Pagado;Pagaré;29;1
33928;80.000.000;0 a 100;1,67;133600000;24;13 a 24;717;Nuevo;2017-10;2017;Growth;Partnerships;Seed;5;3;2016;Business Consulting;Bogotá D.C.;Bogotá AM;6;No;No;Pagado;Pagaré;34;1
49999;20.000.000;0 a 100;1,82;36400000;48;37 en adelante;768;Nuevo;2017-10;2017;Growth;Digital;Seed;4;2;2014;Manufacturing;Medellín;Medellín AM;6;Si;No;Pagado;Prenda Maquinaria, Inventarios o Equipos;32;1
6502;100.000.000;0 a 100;1,4;140000000;30;25 a 36;824;Nuevo;2017-10;2017;SP;Partnerships;Venture;10;7;2002;Commerce, Mechants, Retail;Bogotá D.C.;Bogotá AM;6;Si;No;Pagado;Pagaré;39;1
3420;80.000.000;0 a 100;1,45;116000000;24;13 a 24;835;Renovación;2017-10;2017;Growth;Partnerships;Seed;35;0;2000;Manufacturing;Medellín;Medellín AM;4;No;No;Pagado;Pagaré;42;0
67844;50.000.000;0 a 100;1,62;81000000;36;25 a 36;717;Renovación;2017-10;2017;Growth;Digital;Venture;10;6;2011;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Otros;53;1
38040;30.000.000;0 a 100;1,62;48600000;18;13 a 24;782;Nuevo;2017-10;2017;Growth;Digital;Seed;7;1;2016;Manufacturing;Itagüí;Medellín AM;5;Si;No;Pagado;Pagaré;56;1
81969;172.000.000;101 a 200;1,44;247680000;4;0 a 12;710;Renovación;2017-10;2017;Growth;Partnerships;Scale Up;23;4;2007;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Pagaré;38;0
67844;50.000.000;0 a 100;1,62;81000000;36;25 a 36;726;Renovación;2017-10;2017;Growth;Digital;Venture;10;6;2011;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Otros;53;1
24579;30.000.000;0 a 100;1,66;49800000;24;13 a 24;774;Nuevo;2017-10;2017;SP;Posicionamiento;Seed;10;3;2016;Manufacturing;Medellín;Medellín AM;5;Si;No;Pagado;Pagaré;65;0
24579;30.000.000;0 a 100;1,7;51000000;36;25 a 36;774;Renovación;2017-10;2017;SP;Posicionamiento;Seed;10;3;2016;Manufacturing;Medellín;Medellín AM;5;Si;No;Pagado;Pagaré;65;0
46202;300.000.000;201 a 300;1,3;390000000;36;25 a 36;670;Nuevo;2017-10;2017;Growth;Digital;Scale Up;42;0;2013;Software and Communications;Medellín;Medellín AM;4;Si;No;Pagado;Otros;45;0
