Client_id;Identificador Cuenta; Negocio - Valor ;Negocio - Valor OK;Negocio - Tasa de Interés;P.P.Tasa;Tasa Ponderada;Negocio - Plazo;Negocio - Plazo OK;P.P.Plazo;Negocio - Sempli Score;Negocio - Sempli Score OK;Negocio - Score Experian Enero/19;Cliente;Cliente valor;Negocio - Fecha de ganado;Negocio - Fecha de ganado;Mes;Q;Año ganado;Negocio - Producto (Destinación);Negocio - Producto (Destinación);Negocio - Producto (Destinación) OK;Negocio - Plan de Pagos;Organización - Sector;Organización - Sector OK;Sector - Ok;Organización - Canal de Captura;Organización - Canal de Captura OK;Organización - Tipo de Empresa;Organización - Número de empleados;Organización - Número de empleados Mujeres;Organización - Número de empleados Mujeres con cargo directivo;Organización - Número de empleados OK;Organización - Año de Constitución;Organización - Año de Constitución OK;Organización - CIIU;Clase;División;División;Actividad eco  SEMPLI;Organización - Ciudad;Organización - Ciudad;Persona - Cargo;Organización - Estrato;Organización - Acceso a la banca;Negocio - Mujeres Empresarias;Oportunidad/Inclusión;ESG;Empresa - Tratos ganados;Trato - ID;Estado;Negocio - Seguro de Vida;Negocio - Tipo de Garantía;Empresa - Edad Empresarios;Empresa - Edad Empresarios OK;COVID19;Negocio - Subpoblación;Negocio - Score bureau;Negocio - Huella de consulta;Negocio - Alertas;Negocio - Procesos Judiciales;Máx Marzo17;Máx Abril17;Máx Mayo17;Máx Junio17;Máx Julio17;Máx Agos17;Máx Sept17;Máx Oct17;Máx Nov17;Máx Dic17;Máx Enero18;Máx Feb18;Máx Marzo18;Máx Abril18;Máx Mayo18;Máx Junio18;Máx Julio18;Máx Agos18;Máx Sept18;Máx Oct18;Máx Nov18;Máx Dic18;Máx Ene19;Máx Feb19;Máx Mar19;Máx Abr19;Máx May19;Máx Jun19;Máx Jul19;Máx Ago19;Máx Sep19;Máx Oct19;Máx Nov19;Máx Dic19;Máx Ene20;Máx Feb20;Máx Mar20;Máx Abr20;Máx May20;Máx Jun20;Máx JuL20;Máx Ago20;Máx Sep20;Máx Oct20;Máx Nov20;Máx Dic20;Máx Ene21;Máx Feb21;Máx Mar21;Máx Abr21;Máx May21;Máx Jun21;Máx Jul21;Máx Ago21;Máx Sep21;Máx Oct21;Máx Nov21;Máx Dic21;Máx Ene22;Máx Feb22;Máx Mar22;Máx Abr22;Máx May22;Máx Jun22;Máx Jul22;Máx Ago22;MAX ;Deterioro Cartera;Comportamiento;Mes >=30;Valor mora;icv;icv30;31/12/17;31/12/18;31/12/19;31/12/20;TU;PREPAGOS;CUOTAS;;;;;;;;;;;;;;;;;;;;;;;;;;
440111;1002; 100.000.000 ;0 a 100;1,3;130000000;;12;0 a 12;1200000000;729;670 en adelante;619;Nuevo;0;2017-01-30 00:00:00;2017-01-30;2017-01;2017-Q1;2017;KT - CO Compra de inventario;KT - CO;KT - CO;Mensual Tasa Fija;Industria;Industria;Comercio;Referido;Partnerships;Growth;15;3;1;11 a 50;2011;2010-2013;4631;Comercio al por mayor de productos alimenticios;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;La Estrella;Medellín AM;Gerente;3;Si;No;No;No aplica;;;Pagado;;Pagaré;47;Mayor de 45;No;;;;;;;;;;;1;;1;4;;;;;;;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;4;Bueno;Máxima altura entre 1 y 10;Máx May19;0;;0;11;23;35;47;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
692859;1003; 30.000.000 ;0 a 100;1,6;48000000;;36;25 a 36;1080000000;734;670 en adelante;718;Nuevo;0;2017-02-21 16:52:28;2017-02-21;2017-02;2017-Q1;2017;KT - CO Compra de inventario;KT - CO;KT - CO;Mensual Tasa Fija;Industria;Industria;Comercio;Referido;Partnerships;Seed;6;3;2;1 a 10;2013;2010-2013;4759;Comercio al por menor de otros artículos domésticos en establecimientos especializados;47;Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Medellín;Medellín AM;Gerente;6;Si;No;No;No aplica;;;Pagado;;Pagaré;33;25 - 34;No;;;;;;;1;;;;;;;7;;1;;1;;1;;;1;;;1;3;2;1;;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;7;Bueno;Máxima altura entre 1 y 10;Máx Feb20;0;;0;10;22;34;46;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
424464;1001; 100.000.000 ;0 a 100;1,45;145000000;;12;0 a 12;1200000000;775;670 en adelante;518;Nuevo;0;2017-02-24 00:00:00;2017-02-24;2017-02;2017-Q1;2017;KT - EX Nuevos negocios;KT - EX;Growth;Trimestral Tasa Fija;Servicios;Servicios;Servicios;Referido;Partnerships;Venture;25;5;1;11 a 50;2011;2010-2013;7110;Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;71;"Actividades de arquitectura e ingeniería; ensayos y análisis técnicos";Architecture, Design, Engineering;Medellín;Medellín AM;Coordinador;6;Si;No;No;No aplica;;;Pagado;;Pagaré;60;Mayor de 45;No;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;1;Bueno;Máxima altura entre 1 y 10;Máx May19;0;;0;10;22;34;46;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
003420;1004; 150.000.000 ;101 a 200;1,45;217500000;;24;13 a 24;3600000000;761;670 en adelante;799;Nuevo;0;2017-02-28 00:00:00;2017-02-28;2017-02;2017-Q1;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Bullet Tasa Fija;Industria;Industria;Industria;Referido;Partnerships;Seed;35;0;0;11 a 50;2000;0 a 2005;2930;Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;29;Fabricación de vehículos automotores, remolques y semirremolques;Manufacturing;Medellín;Medellín AM;Director;4;No;No;No;No aplica;;;Pagado;;Pagaré;42;35-44;No;;;;;;1;1;;1;;;;;;1;2;;;;;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;2;Bueno;Máxima altura entre 1 y 10;Máx May19;0;;0;10;22;34;46;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
665484;1006; 30.000.000 ;0 a 100;1,7;51000000;;18;13 a 24;540000000;695;670 en adelante;575;Nuevo;0;2017-03-27 16:36:04;2017-03-27;2017-03;2017-Q1;2017;KT - EX Activaciones comerciales;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Industria;Medios;Posicionamiento;Seed;5;5;1;1 a 10;2013;2010-2013;2599;Fabricación de otros productos elaborados de metal n.c.p.;25;Fabricación de productos elaborados de metal, excepto maquinaria y equipo;Manufacturing;Bogotá D.C.;Bogotá AM;Gerente;6;Si;No;No;Ambiental;;;Pagado;;Pagaré;37;35-44;No;;;;;;;7;;2;6;22;;;;23;4;9;13;18;9;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;23;Atrasado;Máxima altura entre 21 y 30;Máx May19;0;;0;9;21;33;45;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
841275;1007; 60.000.000 ;0 a 100;1,5;90000000;;30;25 a 36;1800000000;761;670 en adelante;713;Nuevo;0;2017-03-28 16:43:22;2017-03-28;2017-03;2017-Q1;2017;KT - EX Contratación talento humano;KT - EX;Growth;Mensual Tasa Fija;Industria;Industria;Industria;Referido;Partnerships;Seed;14;10;2;11 a 50;2015;2014-2017;1081;Elaboración de productos de panadería;10;Elaboración de productos alimenticios;Manufacturing;Medellín;Medellín AM;Gerente;6;No;No;No;No aplica;;;Pagado;;Pagaré;35;35-44;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx May19;0;;0;9;21;33;45;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
490170;1008; 100.000.000 ;0 a 100;1,45;145000000;;36;25 a 36;3600000000;704;670 en adelante;816;Nuevo;0;2017-04-07 12:24:08;2017-04-07;2017-04;2017-Q2;2017;KT - CO Pago proveedores;KT - CO;KT - CO;Mensual Tasa Fija;Tecnologías;Servicios;Servicios;Referido;Partnerships;Scale Up;20;18;7;11 a 50;2012;2010-2013;7310;Publicidad;73;Publicidad y estudios de mercado;Business Consulting;Medellín;Medellín AM;Director;6;Si;No;No;No aplica;;;Pagado;;Pagaré;37;35-44;No;;;;;;;;1;;;;;1;2;;;;;;;1;1;;;;;; ;0;;0;0;0;0;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;2;Bueno;Máxima altura entre 1 y 10;Máx Ene19;0;;0;8;20;32;44;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
942914;1009; 100.000.000 ;0 a 100;1,45;145000000;;12;0 a 12;1200000000;701;670 en adelante;687;Nuevo;0;2017-04-12 00:00:00;2017-04-12;2017-04;2017-Q2;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Industria;Industria;Comercio;Referido;Partnerships;Scale Up;45;25;10;11 a 50;1986;0 a 2005;4659;Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Medellín;Medellín AM;Gerente;6;Si;No;No;No aplica;;;Pagado;;Pagaré;42;35-44;No;;;;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;3;Bueno;Máxima altura entre 1 y 10;Máx May19;0;;0;8;20;32;44;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
443738;1010; 30.000.000 ;0 a 100;1,5;45000000;;36;25 a 36;1080000000;768;670 en adelante;320;Nuevo;0;2017-04-20 16:48:41;2017-04-20;2017-04;2017-Q2;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Industria;Industria;Industria;Referido;Partnerships;Venture;37;30;7;11 a 50;2011;2010-2013;1081;Elaboración de productos de panadería;10;Elaboración de productos alimenticios;Manufacturing;Medellín;Medellín AM;Gerente;4;Si;No;No;No aplica;;;Castigo;;Cesión Permanente de Créditos y Derechos Económicos;31;25 - 34;No;;;;;;;;1;;;;;;;6;;;15;17;4;;10;3;;3;10;11;1;38;;69;73;69;72;72;70;101;101;102;102;101;102;132;163;193;133;164;163;194;224;255;286;314;345;375;406;436;;;;;;;;;;;;; ;;436;Atrasado;Ha entrado en PAR30;Máx Feb19;1;1082898,68;1082898,68;8;20;32;44;WRITTEN_OFF;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
897828;1011; 80.000.000 ;0 a 100;1,6;128000000;;24;13 a 24;1920000000;722;670 en adelante;834;Nuevo;0;2017-04-21 14:27:44;2017-04-21;2017-04;2017-Q2;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Referido;Partnerships;Venture;10;8;5;1 a 10;2015;2014-2017;7310;Publicidad;73;Publicidad y estudios de mercado;Business Consulting;Bogotá D.C.;Bogotá AM;Gerente;5;Si;No;No;No aplica;;;Pagado;;Pagaré;64;Mayor de 45;No;;;;;;;;;;3;;;;;;;1;;;;;;1;;;;; ;2;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;3;Bueno;Máxima altura entre 1 y 10;Máx Ene19;0;;0;8;20;32;44;#N/D;A;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
